Categoría,Material,Enlace
Vidrio,TK9,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/TK9.yml
Vidrio,EagleXG,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/corning/EagleXG.yml
Vidrio,D0082,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D0082.yml
Vidrio,D0191,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D0191.yml
Vidrio,D0290,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D0290.yml
Vidrio,D0391,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D0391.yml
Vidrio,D0587,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D0587.yml
Vidrio,D0687,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D0687.yml
Vidrio,D0785,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D0785.yml
Vidrio,D0888,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D0888.yml
Vidrio,D0891,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D0891.yml
Vidrio,D0991,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D0991.yml
Vidrio,D1125,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D1125.yml
Vidrio,D1214,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D1214.yml
Vidrio,D1219,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D1219.yml
Vidrio,D1230,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D1230.yml
Vidrio,D1420,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D1420_1.yml
Vidrio,D1426,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D1426-D1526.yml
Vidrio,D1511,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D1511.yml
Vidrio,D4150,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D4150.yml
Vidrio,D5336,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D5336_1.yml
Vidrio,D6117,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D6117.yml
Vidrio,D6420,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D6420.yml
Vidrio,D6526,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D6526-D6626.yml
Vidrio,D6625,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D6625.yml
Vidrio,D6726,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D6726-D6826.yml
Vidrio,D9148,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D9148.yml
Materia Inorgánica,Ar,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/main/Ar/Sinnock-liquid-90K.yml
Materia Inorgánica,CO,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/main/CO1/Smith.yml
Materia Inorgánica,CS2,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/main/CS2/Ghosal.yml
Materia Inorgánica,D,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/main/D2/Weber.yml
Materia Inorgánica,GaP,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/main/GaP/Bond.yml
Materia Inorgánica,Kr,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/main/Kr/Sinnock-solid-115.95K.yml
Materia Inorgánica,ReS2,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/main/ReS2/Munkhbat-gamma.yml
Materia Inorgánica,Sc2O3,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/main/Sc2O3/Arndt.yml
Materia Inorgánica,Se,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/main/Se/Campel-o.yml
Materia Inorgánica,SiO,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/main/SiO/Hass.yml
Materia Orgánica,Polydimethylsiloxane,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/organic/(C2H6OSi)n%20-%20polydimethylsiloxane/Gupta-UV.yml
Materia Orgánica,Tetrachloride,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/organic/CCl4%20-%20carbon%20tetrachloride/Ghosal.yml
Materia Orgánica,Bromoform,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/organic/CHBr3%20-%20bromoform/Ghosal.yml
Plásticos Comerciales,CR-39,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/commercial%20plastics/CR-39/mono.yml
Plásticos Comerciales,Kapton,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/commercial%20plastics/Kapton/French.yml
